X_peptide;Y_peptide;RD1_x;RD2_x;medRD_mas1;bcnum_x;RD1_y;RD2_y;medRD_mas2;bcnum_y
O1;O1;0.053429849707932;0.0689655172413793;0.0588494371289367;182;0.0751539081306965;0.0642116440056262;0.0708401855552215;88
O1;O10;0.102803738317757;0.102564102564103;0.103059581320451;149;0.170731707317073;0.142857142857143;0.158523908523909;99
O1;O11;0.0583692936634113;0.0699891895544069;0.0643548387096774;198;0.0754716981132075;0.0746268656716418;0.0766609880749574;115
O1;O12;0.0534124629080119;0.063265306122449;0.0625;197;0.06852204681546;0.067227418241165;0.0676634860855866;96
O1;O13;0.0651465798045603;0.0752118644067797;0.0718317085684967;175;0.1;0.0944558521560575;0.0941402497598463;93
O1;O14;0.0517241379310345;0.0641025641025641;0.056047197640118;165;0.061754368938769;0.0592130892091936;0.0604395604395604;80
O1;O15;0.0491228070175439;0.0588235294117647;0.0571428571428571;191;0.0749766078223442;0.0655722758594215;0.0700374810118222;104
O1;O16;0.0618556701030928;0.0617283950617284;0.0645161290322581;173;0.0769230769230769;0.0681818181818182;0.068362480127186;119
O1;O2;2.73704829965872;2.12413682954556;2.47971746017728;144;3.28688524590164;3.94614103275958;3.90884229717411;85
O1;O3;0.0494390952040543;0.0591736694677871;0.0566934927997914;128;0.0764732343679712;0.0675174391664266;0.0742329016053798;80
O1;O4;0.0570522979397781;0.0651162790697674;0.0605095541401274;169;0.0712472806381436;0.0724662141044394;0.0707153713160945;94
O1;O5;0.0535087719298246;0.0653574658360129;0.0603459487579659;202;0.0619013409961686;0.0670341688836968;0.0636123735522651;100
O1;O6;0.0453318942255801;0.056980056980057;0.0526315789473684;185;0.0697018770702981;0.0635110579266941;0.0665780173420241;124
O1;O7;0.0603085553997195;0.063454759106933;0.0662251655629139;187;0.0751426867705937;0.0697307180851064;0.0695570877644034;126
O1;O8;0.0511243296832049;0.0605346356671004;0.0589303841427579;208;0.0731707317073171;0.0755555555555556;0.0711297071129707;105
O1;O9;0.0736842105263158;0.08;0.0758796100042391;235;0.096234309623431;0.0916481892091648;0.09375;137
O10;O1;0.990780064014632;0.507561505470264;0.740962959289929;196;1.9607124148769;1.57386934673367;1.70678581401843;137
O10;O10;0.0590717299578059;0.0740740740740741;0.0664451827242525;171;0.0764872521246459;0.0699233716475096;0.0726361928616155;87
O10;O11;0.0883458217641018;0.0971432804128293;0.0932131863767252;216;0.0901639344262295;0.0871985157699443;0.0883813306852036;101
O10;O12;0.0514018691588785;0.062049062049062;0.0584615384615385;177;0.0679012345679012;0.060790273556231;0.0644007155635063;123
O10;O13;0.0559638929019604;0.0668574543472336;0.0611626515038157;134;0.0836549239090369;0.0739344882225888;0.0773543366352603;78
O10;O14;0.0719331924488404;0.0854525997733854;0.0746394016224059;166;0.0964566929133858;0.0861423220973783;0.0897959183673469;105
O10;O15;0.0675675675675676;0.0704845814977974;0.0681818181818182;205;0.0780791350356568;0.0745688373476063;0.0757381823213629;108
O10;O16;0.0851678053044418;0.0923531507366039;0.0912581133563975;224;0.093446536687135;0.0918479720655385;0.0925228688269508;136
O10;O2;0.192044074174183;0.118734139423795;0.154821979254275;184;0.370285371702638;0.266274735434124;0.300824894213854;116
O10;O3;0.0785634118967452;0.0851063829787234;0.080952380952381;163;0.0921194792603821;0.0896354731382864;0.0957704458161636;80
O10;O4;0.071107544141252;0.0842089662537204;0.0769230769230769;216;0.100415183867141;0.0888580505515989;0.0887455288106754;146
O10;O5;0.39030612244898;0.2;0.286857142857143;215;0.637755102040816;0.446767484184071;0.514642590945156;146
O10;O6;0.0564102564102564;0.0681818181818182;0.064;203;0.0617469879518072;0.0611995104039168;0.0621493310315063;121
O10;O7;0.0656934306569343;0.0761904761904762;0.0700985761226725;225;0.0834057341442224;0.0851063829787234;0.0812538989394885;127
O10;O8;0.0798872180451128;0.0821917808219178;0.0840672538030424;233;0.107955110224798;0.106769327164064;0.111017394397887;132
O10;O9;3.71550718512257;3.83585117355952;3.92011234285557;306;6.63875675125433;6.37074023285203;6.45105917450881;168
O11;O1;0.0536912751677852;0.0662460567823344;0.0606060606060606;177;0.0645523185412066;0.070733740967204;0.0681675701589409;98
O11;O10;0.0498533724340176;0.0625;0.0540958268933539;121;0.0614035087719298;0.0538555691554468;0.0569105691056911;83
O11;O11;0.0541237113402062;0.0666666666666667;0.0590979782270607;189;0.0792920068090605;0.0655308067375887;0.0734878697241609;110
O11;O12;2.0126582278481;2.11578947368421;1.95238095238095;205;2.44060234244283;1.67036235803137;1.88196218702095;123
O11;O13;0.047454028362163;0.0620192307692308;0.0556258790436006;140;0.0699152542372881;0.0682730923694779;0.0676229508196721;89
O11;O14;0.0450630177092259;0.0592625109745391;0.0531128336737722;158;0.0670391061452514;0.0714285714285714;0.067741935483871;91
O11;O15;0.0516280478570347;0.0585130663014949;0.0562545989698308;220;0.0674678271722209;0.0629009236728098;0.0641085013533095;106
O11;O16;0.053262330164734;0.0660592757149406;0.0618719494688487;186;0.0749152643032583;0.0698780184217077;0.0719440824546855;110
O11;O2;0.0454545454545455;0.0579862424522619;0.0506762540660846;156;0.0679870668088526;0.069078947368421;0.0723357608682926;86
O11;O3;0.0643685514664067;0.0701778385772914;0.0679253318191497;140;0.108170310701956;0.0887096774193548;0.0930232558139535;79
O11;O4;2.05996472663139;1.63842482100239;1.79597701149425;213;0.241921269095182;0.21031746031746;0.219051987767584;104
O11;O5;0.0570934256055363;0.0664961636828645;0.0630630630630631;223;0.0770547945205479;0.0669099756690998;0.0711237553342817;93
O11;O6;0.0543933054393305;0.0605095541401274;0.0589519650655022;233;0.075917667238422;0.0725995316159251;0.0734965580172501;138
O11;O7;0.0535897435897436;0.0691466241669081;0.0624941323736505;194;0.0834339655762066;0.0726712652367004;0.079917055469155;126
O11;O8;0.0514705882352941;0.0608465608465608;0.0574712643678161;221;0.0833333333333333;0.0789473684210526;0.0850574712643678;121
O11;O9;0.0560172445422858;0.0642386057993442;0.0612244897959184;254;0.0706521739130435;0.0714285714285714;0.0679245283018868;153
O12;O1;0.0597014925373134;0.0704225352112676;0.0632411067193676;165;0.0977055289798643;0.0883244234966628;0.0968833984279153;76
O12;O10;0.0469669117647059;0.059371255925405;0.052405617743169;128;0.0609756097560976;0.0693717277486911;0.0636079249217935;69
O12;O11;3.20743034055728;3.23820572312452;3.01982496874442;195;3.87926054303871;2.57062146892655;3.74593758060356;117
O12;O12;0.0496910553737462;0.0540540540540541;0.0527297700075626;184;0.0769230769230769;0.0679190751445087;0.0712506228201295;97
O12;O13;0.0587703435804702;0.0592105263157895;0.0613333333333333;133;0.0704225352112676;0.070506454816286;0.072463768115942;59
O12;O14;0.0923295454545455;0.105692803437164;0.097072180044802;160;0.129275418776782;0.128427800269906;0.125325178708528;84
O12;O15;0.0548288519947081;0.0627553504519571;0.0586088449978532;200;0.067000567000567;0.0679941817492128;0.0677159733497565;110
O12;O16;0.0528803479495828;0.0663439322257674;0.0626455190294002;212;0.0705741626794258;0.0644171779141104;0.0692803437164339;103
O12;O2;0.051948051948052;0.0634920634920635;0.0567786790266512;187;0.0626107372884478;0.0612530610359008;0.0632456228786504;80
O12;O3;1.51297022722753;1.12065739110109;1.29499357708101;154;3.15101057479106;2.2885335230255;2.57958846803914;86
O12;O4;0.0993788819875776;0.0812064965197216;0.0866785079928952;197;0.133333333333333;0.115151515151515;0.123893805309735;117
O12;O5;0.0614754098360656;0.0741012472487161;0.0685920577617329;205;0.08125;0.0718232044198895;0.0804289544235925;117
O12;O6;0.0512820512820513;0.0625;0.0551470588235294;197;0.0815789473684211;0.0743440233236152;0.076158940397351;105
O12;O7;0.0540586864116276;0.0614911969750679;0.0590181744297425;206;0.065597667638484;0.0625;0.0648508430609598;141
O12;O8;0.0909090909090909;0.0866141732283465;0.0878594249201278;199;0.145994832041344;0.116187989556136;0.121311475409836;117
O12;O9;0.0593471810089021;0.0697674418604651;0.0641975308641975;193;0.07852929749585;0.0749478414379714;0.0790220527267068;106
O13;O1;0.0630396215257244;0.0756686968480732;0.069585578212735;170;0.0671875;0.0731707317073171;0.0726351351351351;99
O13;O10;0.0526315789473684;0.0619488075177427;0.0566045796308954;134;0.0682706619957601;0.0581069239240701;0.0611212553310923;76
O13;O11;0.0562913907284768;0.0638297872340425;0.0592255125284738;193;0.0786427608856681;0.0696969696969697;0.0745863319606528;124
O13;O12;0.0492173070518061;0.0583965711073637;0.0539723639985062;200;0.0616302186878728;0.0589473684210526;0.0583873957367933;107
O13;O13;0.0506787745367822;0.0590170278637771;0.0515705755431783;138;0.0623346137430644;0.0684060657221855;0.0630660288624331;76
O13;O14;2.74760807937633;1.95408827643446;2.32523847376789;154;3.15040431266846;2.49835255354201;2.6659414556962;89
O13;O15;0.49468085106383;0.307496823379924;0.38135593220339;203;0.515044247787611;0.31264367816092;0.396103896103896;91
O13;O16;0.0468963110984236;0.0555555555555556;0.051189911180419;216;0.0637254901960784;0.0633663366336634;0.0610169491525424;121
O13;O2;0.0503164556962025;0.0523226773226773;0.0489356984478936;168;0.0645161290322581;0.0571428571428571;0.0598755832037325;85
O13;O3;0.054431846322567;0.060249710798197;0.0566737145925628;138;0.0663297536323437;0.0667086217747011;0.0673596673596674;79
O13;O4;0.0558305830583058;0.0588235294117647;0.0555555555555556;224;0.0738916256157636;0.0694444444444444;0.0721649484536082;119
O13;O5;0.0949074074074074;0.0870488322717622;0.0921052631578947;227;0.0927329504440887;0.085931957044354;0.0891060163102016;110
O13;O6;0.166375291375291;0.12945861428711;0.146944876215088;228;0.235624586913417;0.16712133021564;0.200537535929662;144
O13;O7;0.0519675925925926;0.0523431867339582;0.0533163265306122;198;0.0678291629592656;0.0638697808350664;0.066462517091905;130
O13;O8;0.146138472519629;0.108210156121995;0.130231565881851;212;0.218289085545723;0.164493955913724;0.195121951219512;111
O13;O9;0.0504385964912281;0.0600600600600601;0.054726368159204;223;0.0789473684210526;0.0733287513392225;0.0753943347196396;124
O14;O1;0.0631438120016075;0.0707082853465212;0.0677987742594484;172;0.0870241395631889;0.0820193758802489;0.0841575171372139;116
O14;O10;0.056047197640118;0.0709046454767726;0.0612244897959184;151;0.0854092526690391;0.0816326530612245;0.0849802371541502;89
O14;O11;0.062200956937799;0.0751295336787565;0.0712328767123288;179;0.0834670947030498;0.0776992936427851;0.0799357945425361;115
O14;O12;0.135922330097087;0.106261859582543;0.11977971546581;181;0.194724679082971;0.206526806526807;0.206217981314026;100
O14;O13;3.51553304787;3.53316289403496;3.45849694659462;152;6.41961267605634;5.84389653387006;5.8765696347032;90
O14;O14;0.0625;0.0841432086538015;0.0751862600710387;200;0.0930232558139535;0.0854700854700855;0.0865139949109415;131
O14;O15;0.0548921686242781;0.0603030303030303;0.0584321469217824;162;0.0775613307568911;0.0785132777670091;0.0787576682956992;100
O14;O16;2.79771265189421;2.43060498220641;2.5984375;229;4.59160415464512;4.60004915305505;4.68796063511485;126
O14;O2;0.0716374269005848;0.0790297339593114;0.0760869565217391;187;0.0949367088607595;0.076;0.0823665893271462;95
O14;O3;0.0866845397676497;0.0948717948717949;0.0909090909090909;163;0.120379146919431;0.104143947655398;0.108715457030064;103
O14;O4;0.072631174710971;0.0801702036746902;0.073535548979437;214;0.105263157894737;0.0956175298804781;0.098135426889107;135
O14;O5;1.74530569138143;0.945298406494287;1.3640593140177;270;3.33036692223439;2.47219868901566;2.82669874599008;142
O14;O6;0.996515679442509;0.56701030927835;0.793142857142857;197;2.65330882352941;1.83467741935484;2.30769230769231;111
O14;O7;0.676229508196721;0.329644268774704;0.494325346784363;217;1.46355629233557;1.1401109724867;1.32820559222199;138
O14;O8;0.0604537686634287;0.0643035575846326;0.063292025730003;220;0.098653807514567;0.0885397224013303;0.0935261799902131;114
O14;O9;0.0710227272727273;0.0785582255083179;0.0777385159010601;265;0.0850961267803862;0.0802575851579936;0.0849646911593814;154
O15;O1;0.0585896241068655;0.0647255969836615;0.0650352733686067;130;0.0827807486631016;0.0795861651747313;0.0778258975169257;76
O15;O10;0.0483091787439614;0.0582010582010582;0.05;159;0.0590726580645642;0.0633195988206413;0.0624580764170171;104
O15;O11;0.055045871559633;0.0612244897959184;0.0604026845637584;157;0.0749185667752443;0.0689127105666156;0.0655737704918033;79
O15;O12;0.0555555555555556;0.0613496932515337;0.0585585585585586;189;0.0664206642066421;0.0602636534839925;0.0640394088669951;105
O15;O13;0.869554485776805;0.497019760107344;0.651049208750131;130;1.69495596477182;1.14877102199224;1.37931034482759;65
O15;O14;0.0476190476190476;0.0610328638497653;0.0553191489361702;149;0.0791864209201987;0.0692309700323692;0.0694483930564109;64
O15;O15;0.0583333333333333;0.0675;0.0645161290322581;167;0.0824175824175824;0.0733137829912024;0.0788834951456311;87
O15;O16;3.61202993864394;3.96381574826884;3.81985146075057;156;6.03323714470896;5.78532752406149;5.95165812193867;108
O15;O2;0.0542997542997543;0.049739158494828;0.0494095238095238;124;0.0742831298055179;0.0632382129958026;0.0668797668525726;84
O15;O3;0.0579710144927536;0.0707964601769911;0.0625;127;0.0674175853142177;0.0714662967062403;0.0665686274509804;66
O15;O4;0.0607438831886346;0.0738791423001949;0.0705590039163526;170;0.0862771034339662;0.0834843319408186;0.0882223911473165;94
O15;O5;0.148529411764706;0.0952425027767494;0.117739273927393;182;0.347619047619048;0.219584569732938;0.272566371681416;113
O15;O6;0.0526315789473684;0.0588235294117647;0.0555555555555556;191;0.0722021660649819;0.0700374531835206;0.0713128038897893;91
O15;O7;0.174477593912308;0.129970622180254;0.153858997440216;160;0.264611086568316;0.197112488746245;0.228288382808258;120
O15;O8;0.0689655172413793;0.0778688524590164;0.0738413197172035;139;0.111947318908749;0.0907859078590786;0.102040816326531;95
O15;O9;0.0610859728506787;0.0723192019950125;0.0663265306122449;209;0.0751494449188728;0.0756469807564698;0.0729281767955801;137
O16;O1;0.0625932835820895;0.0714285714285714;0.0663522012578616;156;0.081623401691604;0.0830587927544034;0.0841171778603215;116
O16;O10;0.0545717286805619;0.0716855087358684;0.0617630739353586;154;0.0714285714285714;0.0664112388250319;0.0676056338028169;79
O16;O11;0.0617021276595745;0.0751445086705202;0.0681818181818182;189;0.0792454596517506;0.0761033298397013;0.0799599845949313;100
O16;O12;0.0529801324503311;0.0608695652173913;0.0571428571428571;177;0.0591275269797842;0.0571428571428571;0.059557735637408;94
O16;O13;0.0526315789473684;0.062015503875969;0.0555555555555556;139;0.0610263522884882;0.0556552962298025;0.0606060606060606;85
O16;O14;1.66326894868248;1.10780673366264;1.39286092090803;160;2.94044665012407;2.29839743589744;2.74901185770751;97
O16;O15;2.27338013654515;1.38380898413353;1.83939299419153;180;3.448098663926;2.79758713136729;2.93776493256262;87
O16;O16;0.0534131431482425;0.0675424516347047;0.0593986160429755;152;0.0742902838864454;0.0675685969803617;0.0672704846601489;100
O16;O2;0.0512820512820513;0.0578034682080925;0.0571428571428571;171;0.0675675675675676;0.0594594594594595;0.0648148148148148;95
O16;O3;0.0573065902578797;0.068;0.0653465346534653;147;0.0808802433006255;0.0832849582849583;0.0801605465246774;70
O16;O4;0.0476190476190476;0.0584815321477428;0.0535216809632486;210;0.078125;0.0727848101265823;0.0784685367702805;123
O16;O5;0.062200956937799;0.0701754385964912;0.0662650602409639;191;0.0822773230411354;0.069044999738069;0.0754184700157798;112
O16;O6;0.0912510975868229;0.0853672643146327;0.0877073734594533;212;0.114678899082569;0.0962025316455696;0.10146955913226;103
O16;O7;0.0834421235857267;0.0929952192891291;0.087569825846125;200;0.110561056105611;0.096;0.103114186851211;111
O16;O8;1.07798209616275;0.597393122902583;0.832531999833816;200;2.5034965034965;1.85575048732943;2.1749430523918;103
