ID1	ID2	score
O1	O1	0.070840186
O1	O10	0.158523909
O1	O11	0.076660988
O1	O12	0.067663486
O1	O13	0.09414025
O1	O14	0.06043956
O1	O15	0.070037481
O1	O16	0.06836248
O1	O2	3.908842297
O1	O3	0.074232902
O1	O4	0.070715371
O1	O5	0.063612374
O1	O6	0.066578017
O1	O7	0.069557088
O1	O8	0.071129707
O1	O9	0.09375
O10	O1	1.706785814
O10	O10	0.072636193
O10	O11	0.088381331
O10	O12	0.064400716
O10	O13	0.077354337
O10	O14	0.089795918
O10	O15	0.075738182
O10	O16	0.092522869
O10	O2	0.300824894
O10	O3	0.095770446
O10	O4	0.088745529
O10	O5	0.514642591
O10	O6	0.062149331
O10	O7	0.081253899
O10	O8	0.111017394
O10	O9	6.451059175
O11	O1	0.06816757
O11	O10	0.056910569
O11	O11	0.07348787
O11	O12	1.881962187
O11	O13	0.067622951
O11	O14	0.067741935
O11	O15	0.064108501
O11	O16	0.071944082
O11	O2	0.072335761
O11	O3	0.093023256
O11	O4	0.219051988
O11	O5	0.071123755
O11	O6	0.073496558
O11	O7	0.079917055
O11	O8	0.085057471
O11	O9	0.067924528
O12	O1	0.096883398
O12	O10	0.063607925
O12	O11	3.745937581
O12	O12	0.071250623
O12	O13	0.072463768
O12	O14	0.125325179
O12	O15	0.067715973
O12	O16	0.069280344
O12	O2	0.063245623
O12	O3	2.579588468
O12	O4	0.123893805
O12	O5	0.080428954
O12	O6	0.07615894
O12	O7	0.064850843
O12	O8	0.121311475
O12	O9	0.079022053
O13	O1	0.072635135
O13	O10	0.061121255
O13	O11	0.074586332
O13	O12	0.058387396
O13	O13	0.063066029
O13	O14	2.665941456
O13	O15	0.396103896
O13	O16	0.061016949
O13	O2	0.059875583
O13	O3	0.067359667
O13	O4	0.072164948
O13	O5	0.089106016
O13	O6	0.200537536
O13	O7	0.066462517
O13	O8	0.195121951
O13	O9	0.075394335
O14	O1	0.084157517
O14	O10	0.084980237
O14	O11	0.079935795
O14	O12	0.206217981
O14	O13	5.876569635
O14	O14	0.086513995
O14	O15	0.078757668
O14	O16	4.687960635
O14	O2	0.082366589
O14	O3	0.108715457
O14	O4	0.098135427
O14	O5	2.826698746
O14	O6	2.307692308
O14	O7	1.328205592
O14	O8	0.09352618
O14	O9	0.084964691
O15	O1	0.077825898
O15	O10	0.062458076
O15	O11	0.06557377
O15	O12	0.064039409
O15	O13	1.379310345
O15	O14	0.069448393
O15	O15	0.078883495
O15	O16	5.951658122
O15	O2	0.066879767
O15	O3	0.066568627
O15	O4	0.088222391
O15	O5	0.272566372
O15	O6	0.071312804
O15	O7	0.228288383
O15	O8	0.102040816
O15	O9	0.072928177
O16	O1	0.084117178
O16	O10	0.067605634
O16	O11	0.079959985
O16	O12	0.059557736
O16	O13	0.060606061
O16	O14	2.749011858
O16	O15	2.937764933
O16	O16	0.067270485
O16	O2	0.064814815
O16	O3	0.080160547
O16	O4	0.078468537
O16	O5	0.07541847
O16	O6	0.101469559
O16	O7	0.103114187
O16	O8	2.174943052
O16	O9	0.085400314
O2	O1	6.809307104
O2	O10	0.502932255
O2	O11	0.109316515
O2	O12	0.066037736
O2	O13	0.067431851
O2	O14	0.113033449
O2	O15	0.093212121
O2	O16	0.08096828
O2	O2	0.071428571
O2	O3	0.083333333
O2	O4	0.076394867
O2	O5	0.086956522
O2	O6	0.074468085
O2	O7	0.073093829
O2	O8	0.309449485
O2	O9	1.687949992
O3	O1	0.062988115
O3	O10	0.065344224
O3	O11	0.076933804
O3	O12	0.703772166
O3	O13	0.061139416
O3	O14	0.074321199
O3	O15	0.064583333
O3	O16	0.080143228
O3	O2	0.069695713
O3	O3	0.072915124
O3	O4	6.346412934
O3	O5	0.066971081
O3	O6	0.073791349
O3	O7	0.069941242
O3	O8	0.078620119
O3	O9	0.077502691
O4	O1	0.076923077
O4	O10	0.067346939
O4	O11	2.914332871
O4	O12	0.16179078
O4	O13	0.074760307
O4	O14	0.081761006
O4	O15	0.084923016
O4	O16	0.077956989
O4	O2	0.062203646
O4	O3	4.64045977
O4	O4	0.081690141
O4	O5	0.073873874
O4	O6	0.089072772
O4	O7	0.07363938
O4	O8	0.074074074
O4	O9	0.079320113
O5	O1	0.075050085
O5	O10	0.075658882
O5	O11	0.0718331
O5	O12	0.065698479
O5	O13	0.09243212
O5	O14	0.451228211
O5	O15	0.081477458
O5	O16	0.070997959
O5	O2	0.061701759
O5	O3	0.057767369
O5	O4	0.079131356
O5	O5	0.069074646
O5	O6	5.027962101
O5	O7	0.071280488
O5	O8	0.08168028
O5	O9	0.070057769
O6	O1	0.070467077
O6	O10	0.073925183
O6	O11	0.077743445
O6	O12	0.077393075
O6	O13	0.914640324
O6	O14	1.541361257
O6	O15	0.066511965
O6	O16	0.435849673
O6	O2	0.066480707
O6	O3	0.079655262
O6	O4	0.119887798
O6	O5	5.696274298
O6	O6	0.076072822
O6	O7	0.079573496
O6	O8	0.313270142
O6	O9	0.121929506
O7	O1	0.078507
O7	O10	0.068833652
O7	O11	0.069594308
O7	O12	0.059056033
O7	O13	0.065549108
O7	O14	0.191115702
O7	O15	0.166163142
O7	O16	0.084898573
O7	O2	0.062111801
O7	O3	0.072617787
O7	O4	0.069806602
O7	O5	0.076923077
O7	O6	0.065411129
O7	O7	0.066964286
O7	O8	4.648636985
O7	O9	0.072961373
O8	O1	0.081118937
O8	O10	0.080379404
O8	O11	0.077169032
O8	O12	0.111816036
O8	O13	0.51599796
O8	O14	0.082391214
O8	O15	0.107246377
O8	O16	2.399350649
O8	O2	0.085916652
O8	O3	0.092830882
O8	O4	0.087926509
O8	O5	0.117426535
O8	O6	0.143112701
O8	O7	6.536936078
O8	O8	0.080124091
O8	O9	0.093617021
O9	O1	0.084114219
O9	O10	5.013605442
O9	O11	0.06565176
O9	O12	0.071553229
O9	O13	0.068404691
O9	O14	0.065486726
O9	O15	0.066011236
O9	O16	0.068834396
O9	O2	0.12555299
O9	O3	0.066045724
O9	O4	0.064333018
O9	O5	0.078282828
O9	O6	0.086428774
O9	O7	0.068082373
O9	O8	0.083333333
O9	O9	0.07426354
